Metric,Unit,Scenario_0,Scenario_1,Scenario_2,Scenario_3,Scenario_4,Scenario_5,Scenario_6,Scenario_7,Scenario_8,Scenario_9,Scenario_10,Scenario_11,Scenario_12,Scenario_13,Scenario_14,Scenario_15,Scenario_16,Scenario_17,Scenario_18,Scenario_19,Scenario_20,Scenario_21,Scenario_22,Scenario_23,Scenario_24,Scenario_25,Scenario_26,Scenario_27,Scenario_28,Scenario_29,Scenario_30,Scenario_31,Scenario_32,Scenario_33,Scenario_34,Scenario_35,Scenario_36,Scenario_37,Scenario_38,Scenario_39,Scenario_40
  breakers,$/kWdc,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256
  conductors,$/kWdc,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487
  combiner_boxes,$/kWdc,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564
  grounding,$/kWdc,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197
  substation,$/kWdc,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564
  transmission,$/kWdc,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595
  network_upgrade,$/kWdc,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265
  shipping,$/kWdc,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513
fieldwork,$/kWdc,228.5874,242.3693,256.1512,283.7150,311.2789,256.1512,283.7150,338.8427,393.9703,269.9331,311.2789,393.9703,476.6618,283.7150,338.8427,449.0980,559.3533,297.4969,366.4065,504.2256,642.0447,311.2789,393.9703,559.3533,724.7362,325.0608,421.5341,614.4809,807.4277,338.8427,449.0980,669.6086,890.1192,352.6246,476.6618,724.7362,972.8106,366.4065,504.2256,779.8639,1055.5021
  ebos_labor,$/kWdc,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748
